N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8600021348;ABBOTT LABORATORIES DE COLOMBIA SAS;;2000006873;;;;;
8305001639;TECH BIONICA S.A.;;2000006795;;;;;
8300238195;LOGISTICA PARA DISPOSITIVOS MEDICOS SAS;;2000006655;;;;;
8605298900;DISORTHO SA;;2000006994;;;;;
8001211515;COMPAÑIA DE REPRESENTACIONES MEDICAS SA;;2000005978;;;;;
8001740435;ORTOMAC LTDA;;2000006047;;;;;
8300701926;UCIPHARMA SA;;2000006707;;;;;
8600700783;IMCOLMEDICA S.A;;2000006963;;;;;
8600443494;G BARCO SA;;2000006943;;;;;
8002123331;EQUILUM LTDA;;2000006118;;;;;
8110194997;R P MEDICAS S.A.;;2000006363;;;;;
8300285724;INTERFISICA LTDA;;2000006660;;;;;
8300793758;PROASECAL SAS;;1000000849;;;;;
8301353876;COMERCIALIZADORA INTERNACIONAL;;2000006778;;;;;
8600669427;COMPENSAR COMFENALCO VALLE-CV;;12515;;;;;
8600400943;OXIGENOS DE COLOMBIA LTDA;;2000005008;;;;;
8001901409;OXIMERC EQUIPOS MEDICOS SAS;;2000005009;;;;;
8600248626;QUIRURGICOS LTDA;;2000006919;;;;;
8600137043;GASES INDUSTRIALES DE COLOMBIA SA;;12411;;;;;
8300145880;BRILLO INSTITUCIONAL S.A.S;;5022;;;;;
8000613577;IMPLANTES Y SISTEMAS ORTOPEDICOS SAS;;2000005933;;;;;
8600051144;MESSER COLOMBIA SA;;12380;;;;;
8001624253;RADPROCT LTDA;;2000006034;;;;;
8300753971;FISULAB CENTRO DE REHABILITACION PA;;11799;;;;;
8300761251;GRUNENTHAL COLOMBIANA S.A;;5030;;;;;
8600000182;AGENCIA DE VIAJES Y TURISMO AVIATUR SAS;;2000006871;;;;;
8002469532;FONDO FINANCIERO DISTRITAL DE SALUD;;1000000006;;;;;
8903030935;COMFENALCO VALLE;;39804;;;;;
8999990619;ALCALDIA MAYOR DE BOGOTA;;1000000008;;;;;
8600137201;PONTIFICIA UNIVERSIDAD JAVERIANA;;2000006897;;;;;
9003108254;INVERSIONES MAGEN S.A.S;;2000007786;;;;;
9006050912;COMFENALCO VALLE IPS SAS COMFENALCO;VALLE IPS S.A.S;2000007919;;;;;
8300473127;MEDTRONIC LATIN AMERICA INC SUCURSA;;2000006685;;;;;
9003992115;LABCO NOUS COLOMBIA LTDA;;16325;;;;;
8001322109;QUALITAS BIOQUIMICOS LTDA.;;9349;;;;;
8300048922;TECNICA ELECTROMEDICA S.A.;;2000006610;;;;;
8300760348;ORL BOSQUE LTDA.;;11800;;;;;
